id,arquivo,linha,funcao,camada,feature,moderno_ou_legado,opcoes_diretas,opcoes_mapeadas,compartilhada,chamadas_detectadas_qtd
src/features/atividades/sei-pro-atividades.js:13705:getTableRelatorioPanel,src/features/atividades/sei-pro-atividades.js,13705,getTableRelatorioPanel,feature,atividades,moderno,,agruparlista;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;debugpage;editarimagens;ferramentasia;filtroporatribuicao;gerenciaratividades;gerenciarmonitorados;gerenciarprazos;gerenciarprescricoes;gerenciarprojetos;marcar_naolido;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;notificacaonovoprocesso;qualidadeimagens;removepaginacao;salvamentoautomatico;substituiselecao;uploaddocsexternos,sim,21
src/features/atividades/sei-pro-atividades.js:13760:initFunctionPanelRelatorios,src/features/atividades/sei-pro-atividades.js,13760,initFunctionPanelRelatorios,feature,atividades,moderno,,agruparlista;atalhopublicacoeseletronicas;autopreenchersenha;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;contadoricone;coresmarcadores;debugpage;disablequery;ditado;editarimagens;editarlinks;escrivainterativa;especificaprocesso;ferramentasia;filtrarpaginapelapesquisarapida;filtroporatribuicao;gerenciaratividades;gerenciarformularios;gerenciarmonitorados;gerenciarprazos;gerenciarprescricoes;gerenciarprojetos;infoarvore;marcar_naolido;menususpenso;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;newdoctoday;newproc_selfunidade;nomesusuarios;ocultarpaginacaosuperior;ordernartabela;qualidadeimagens;removepaginacao;resizearvore;revisaotexto;rolageminfinita;salvamentoautomatico;sincronizarprocessos;substituiselecao;uploaddocsexternos;urlamigavel,sim,18
src/features/atividades/sei-pro-atividades.js:13830:setTimeout,src/features/atividades/sei-pro-atividades.js,13830,setTimeout,feature,atividades,moderno,,notificacaonovoprocesso,não,22
src/features/atividades/sei-pro-atividades.js:13890:setTimeout,src/features/atividades/sei-pro-atividades.js,13890,setTimeout,feature,atividades,moderno,,,não,4
src/features/atividades/sei-pro-atividades.js:13906:getColumnsPanelRelatorios,src/features/atividades/sei-pro-atividades.js,13906,getColumnsPanelRelatorios,feature,atividades,moderno,,,não,9
src/features/atividades/sei-pro-atividades.js:14122:getRowsPanelRelatorios,src/features/atividades/sei-pro-atividades.js,14122,getRowsPanelRelatorios,feature,atividades,moderno,,,não,0
src/features/atividades/sei-pro-atividades.js:14126:setRowsPanelRelatorios,src/features/atividades/sei-pro-atividades.js,14126,setRowsPanelRelatorios,feature,atividades,moderno,,gerenciarprescricoes;gerenciarprojetos;notificacaonovoprocesso,sim,31
src/features/atividades/sei-pro-atividades.js:14452:initRowsPanelRelatorios,src/features/atividades/sei-pro-atividades.js,14452,initRowsPanelRelatorios,feature,atividades,moderno,,agruparlista;atalhopublicacoeseletronicas;autopreenchersenha;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;contadoricone;coresmarcadores;debugpage;disablequery;ditado;editarimagens;editarlinks;escrivainterativa;especificaprocesso;ferramentasia;filtrarpaginapelapesquisarapida;filtroporatribuicao;gerenciaratividades;gerenciarformularios;gerenciarmonitorados;gerenciarprazos;gerenciarprescricoes;gerenciarprojetos;infoarvore;marcar_naolido;menususpenso;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;newdoctoday;newproc_selfunidade;nomesusuarios;ocultarpaginacaosuperior;ordernartabela;qualidadeimagens;removepaginacao;resizearvore;revisaotexto;rolageminfinita;salvamentoautomatico;sincronizarprocessos;substituiselecao;uploaddocsexternos;urlamigavel,sim,7
src/features/atividades/sei-pro-atividades.js:14470:setTimeout,src/features/atividades/sei-pro-atividades.js,14470,setTimeout,feature,atividades,moderno,,agruparlista;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;debugpage;editarimagens;ferramentasia;filtroporatribuicao;gerenciaratividades;gerenciarmonitorados;gerenciarprazos;gerenciarprojetos;marcar_naolido;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;qualidadeimagens;removepaginacao;salvamentoautomatico;substituiselecao;uploaddocsexternos,sim,3
src/features/atividades/sei-pro-atividades.js:14484:initEditPanelRelatorios,src/features/atividades/sei-pro-atividades.js,14484,initEditPanelRelatorios,feature,atividades,moderno,,agruparlista;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;debugpage;editarimagens;ferramentasia;filtroporatribuicao;gerenciaratividades;gerenciarmonitorados;gerenciarprazos;gerenciarprojetos;marcar_naolido;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;qualidadeimagens;removepaginacao;salvamentoautomatico;substituiselecao;uploaddocsexternos,sim,12
src/features/atividades/sei-pro-atividades.js:14524:getChartAfastamentoPanel,src/features/atividades/sei-pro-atividades.js,14524,getChartAfastamentoPanel,feature,atividades,moderno,,,não,1
